 ---------------------------------------------------------------
 Vortex Strengths (by surface, by strip)

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
  Standard axis orientation,  X fwd, Z down         

 ******************************************************************************
  Surface # 1     wing_fowler_flap                        
     # Chordwise  = 30   # Spanwise = 30   First strip  =   1
    Surface area =   21.570494       Ave. chord =    4.003804
     CLsurf  =   0.90105     Clsurf  =  -0.09832
     CYsurf  =  -0.01291     Cmsurf  =  -0.32943
     CDsurf  =   0.09525     Cnsurf  =   0.00735
     CDisurf =   0.09525     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   2.70238     CDsurf  =   0.28567
 ******************************************************************************

 Strip #  1     # Chordwise = 30   First Vortex =   1
    Xle =   9.77499    Ave. Chord   =    4.5461   Incidence  =    0.0000 deg
   78    12.79552     0.70297     0.00000     0.22037     0.04615     3.39581
   79    13.01432     0.70297     0.00000     0.21323     0.04156     3.98354
   80    13.22542     0.70297     0.00000     0.20384     0.02902     5.51859
   81    13.42656     0.70297     0.00000     0.19228     0.00967     4.07714
   82    13.61563     0.70297     0.00000     0.17869    -0.01537     3.61835
   83    13.79062     0.70297     0.00000     0.16320    -0.05070     3.34298
   84    13.94967     0.70297     0.00000     0.14598    -0.09230     3.09486
   85    14.09109     0.70297     0.00000     0.12721    -0.13260     2.80179
   86    14.21340     0.70297     0.00000     0.10710    -0.17235     2.47854
   87    14.31528     0.70297     0.00000     0.08585    -0.20566     2.09277
   88    14.39567     0.70297     0.00000     0.06369    -0.23445     1.67352
   89    14.45370     0.70297     0.00000     0.04085    -0.25500     1.20608
   90    14.48877     0.70297     0.00000     0.01832    -0.26574     0.68922

 Strip #  4     # Chordwise = 30   First Vortex =  91
    Xle =  10.22203    Ave. Chord   =    4.3675   Incidence  =    0.0000 deg
    Yle =   0.98179    Strip Width  =   0.27733   Strip Area =    1.211261
    Zle =   0.00000    Strip Dihed. =    0.0000

    cl  =   2.97970       cd  =   0.37140      cdv =   0.00000
    cn  =   2.99506       ca  =   0.21494      cnc =  13.08097    wake dnwsh =   0.16396
    cmLE=  -1.31148    cm c/4 =  -0.73658

    I        X           Y           Z           DX        Slope        dCp
   91    10.22475     0.98146     0.00000     0.01808     0.00045    14.69126
   92    10.24786     0.98146     0.00000     0.04031     0.00134     6.67189
   93    10.29385     0.98146     0.00000     0.06284     0.00118     4.39841
   94    10.36223     0.98146     0.00000     0.08470    -0.00160     3.40519
   95    10.45227     0.98146     0.00000     0.10567     0.00008     2.86678
   96    10.56301     0.98146     0.00000     0.12551    -0.00078     2.57440
   97    10.69329     0.98146     0.00000     0.14403    -0.00042     2.40197
   98    10.84172     0.98146     0.00000     0.16102    -0.00194     2.31553
   99    11.00672     0.98146     0.00000     0.17630    -0.00029     2.26668
  100    11.18656     0.98146     0.00000     0.18971     0.00124     2.26519
  101    11.37931     0.98146     0.00000     0.20111     0.00179     2.29600
  102    11.58295     0.98146     0.00000     0.21038     0.00209     2.34392
  103    11.79531     0.98146     0.00000     0.21742     0.00745     2.39322
  104    12.01413     0.98146     0.00000     0.22216     0.01161     2.48269
  105    12.23711     0.98146     0.00000     0.22454     0.02553     2.57229
  106    12.46188     0.98146     0.00000     0.22454     0.03720     2.75584
  107    12.68604     0.98146     0.00000     0.22216     0.04672     3.01867
  108    12.90724     0.98146     0.00000     0.21742     0.04615     3.40999
  109    13.12312     0.98146     0.00000     0.21038     0.04156     3.98112
  110    13.33139     0.98146     0.00000     0.20111     0.02902     5.50135
  111    13.52985     0.98146     0.00000     0.18971     0.00967     4.04140
  112    13.71639     0.98146     0.00000     0.17630    -0.01537     3.57086
  113    13.88904     0.98146     0.00000     0.16102    -0.05070     3.28877
  114    14.04597     0.98146     0.00000     0.14403    -0.09230     3.03844
  115    14.18550     0.98146     0.00000     0.12551    -0.13260     2.74738
  116    14.30617     0.98146     0.00000     0.10567    -0.17235     2.42943
  117    14.40670     0.98146     0.00000     0.08470    -0.20566     2.05128
  118    14.48601     0.98146     0.00000     0.06284    -0.23445     1.64093
  119    14.54327     0.98146     0.00000     0.04031    -0.25500     1.18299
  120    14.57787     0.98146     0.00000     0.01808    -0.26574     0.67618

 Strip #  5     # Chordwise = 30   First Vortex = 121
    Xle =  10.36872    Ave. Chord   =    4.3089   Incidence  =    0.0000 deg
    Yle =   1.25769    Strip Width  =   0.27426   Strip Area =    1.181784
    Zle =   0.00000    Strip Dihed. =    0.0000

    cl  =   3.02389       cd  =   0.35329      cdv =   0.00000
    cn  =   3.03824       ca  =   0.19455      cnc =  13.09159    wake dnwsh =   0.18076
    cmLE=  -1.30996    cm c/4 =  -0.72406

    I        X           Y           Z           DX        Slope        dCp
  121    10.37135     1.25726     0.00000     0.01783     0.00045    15.83765
  122    10.39416     1.25726     0.00000     0.03977     0.00134     7.18482
  123    10.43953     1.25726     0.00000     0.06200     0.00118     4.72503
  124    10.50699     1.25726     0.00000     0.08357    -0.00160     3.64345
  125    10.59582     1.25726     0.00000     0.10425     0.00008     3.05213
  126    10.70508     1.25726     0.00000     0.12383    -0.00078     2.72422
  127    10.83361     1.25726     0.00000     0.14210    -0.00042     2.52569
  128    10.98005     1.25726     0.00000     0.15886    -0.00194     2.41925
  129    11.14284     1.25726     0.00000     0.17393    -0.00029     2.35422
  130    11.32027     1.25726     0.00000     0.18717     0.00124     2.33961
  131    11.51044     1.25726     0.00000     0.19841     0.00179     2.35947
  132    11.71134     1.25726     0.00000     0.20756     0.00209     2.39783
  133    11.92085     1.25726     0.00000     0.21450     0.00745     2.43827
  134    12.13675     1.25726     0.00000     0.21918     0.01161     2.51935
  135    12.35673     1.25726     0.00000     0.22152     0.02553     2.59990
  136    12.57848     1.25726     0.00000     0.22152     0.03720     2.77391
  137    12.79965     1.25726     0.00000     0.21918     0.04672     3.02597
  138    13.01788     1.25726     0.00000     0.21450     0.04615     3.40562
  139    13.23086     1.25726     0.00000     0.20756     0.04156     3.96505
  140    13.43634     1.25726     0.00000     0.19841     0.02902     5.47628
  141    13.63214     1.25726     0.00000     0.18717     0.00967     4.00537
  142    13.81618     1.25726     0.00000     0.17393    -0.01537     3.52881
  143    13.98651     1.25726     0.00000     0.15886    -0.05070     3.24431
  144    14.14133     1.25726     0.00000     0.14210    -0.09230     2.99457
  145    14.27900     1.25726     0.00000     0.12383    -0.13260     2.70661
  146    14.39805     1.25726     0.00000     0.10425    -0.17235     2.39352
  147    14.49723     1.25726     0.00000     0.08357    -0.20566     2.02136
  148    14.57548     1.25726     0.00000     0.06200    -0.23445     1.61763
  149    14.63197     1.25726     0.00000     0.03977    -0.25500     1.16656
  150    14.66611     1.25726     0.00000     0.01783    -0.26574     0.66691

 Strip #  6     # Chordwise = 30   First Vortex = 151
    Xle =  10.51359    Ave. Chord   =    4.2511   Incidence  =    0.0000 deg
    Yle =   1.53013    Strip Width  =   0.27044   Strip Area =    1.149670
    Zle =   0.00000    Strip Dihed. =    0.0000

    cl  =   3.05631       cd  =   0.33663      cdv =   0.00000
    cn  =   3.06974       ca  =   0.17621      cnc =  13.04973    wake dnwsh =   0.19458
    cmLE=  -1.30591    cm c/4 =  -0.71160

    I        X           Y           Z           DX        Slope        dCp
  151    10.51613     1.52961     0.00000     0.01759     0.00045    16.83505
  152    10.53863     1.52961     0.00000     0.03923     0.00134     7.63096
  153    10.58339     1.52961     0.00000     0.06116     0.00118     5.00900
  154    10.64995     1.52961     0.00000     0.08244    -0.00160     3.85049
  155    10.73759     1.52961     0.00000     0.10285     0.00008     3.21306
  156    10.84538     1.52961     0.00000     0.12217    -0.00078     2.85410
  157    10.97218     1.52961     0.00000     0.14019    -0.00042     2.63257
  158    11.11665     1.52961     0.00000     0.15672    -0.00194     2.50815
  159    11.27726     1.52961     0.00000     0.17160    -0.00029     2.42818
  160    11.45230     1.52961     0.00000     0.18465     0.00124     2.40095
  161    11.63992     1.52961     0.00000     0.19575     0.00179     2.40975
  162    11.83813     1.52961     0.00000     0.20477     0.00209     2.43799
  163    12.04483     1.52961     0.00000     0.21162     0.00745     2.46867
  164    12.25783     1.52961     0.00000     0.21623     0.01161     2.54032
  165    12.47486     1.52961     0.00000     0.21855     0.02553     2.61113
  166    12.69364     1.52961     0.00000     0.21855     0.03720     2.77549
  167    12.91183     1.52961     0.00000     0.21623     0.04672     3.01782
  168    13.12713     1.52961     0.00000     0.21162     0.04615     3.38814
  169    13.33726     1.52961     0.00000     0.20477     0.04156     3.93924
  170    13.53998     1.52961     0.00000     0.19575     0.02902     5.44476
  171    13.73315     1.52961     0.00000     0.18465     0.00967     3.96780
  172    13.91472     1.52961     0.00000     0.17160    -0.01537     3.48870
  173    14.08277     1.52961     0.00000     0.15672    -0.05070     3.20419
  174    14.23551     1.52961     0.00000     0.14019    -0.09230     2.95644
  175    14.37133     1.52961     0.00000     0.12217    -0.13260     2.67205
  176    14.48878     1.52961     0.00000     0.10285    -0.17235     2.36356
  177    14.58663     1.52961     0.00000     0.08244    -0.20566     1.99666
  178    14.66383     1.52961     0.00000     0.06116    -0.23445     1.59850
  179    14.71956     1.52961     0.00000     0.03923    -0.25500     1.15313
  180    14.75324     1.52961     0.00000     0.01759    -0.26574     0.65936

 Strip #  7     # Chordwise = 30   First Vortex = 181
    Xle =  10.65622    Ave. Chord   =    4.1941   Incidence  =    0.0000 deg
    Yle =   1.79838    Strip Width  =   0.26588   Strip Area =    1.115127
    Zle =   0.00000    Strip Dihed. =    0.0000

    cl  =   3.07629       cd  =   0.32110      cdv =   0.00000
    cn  =   3.08888       ca  =   0.15966      cnc =  12.95516    wake dnwsh =   0.20698
    cmLE=  -1.29889    cm c/4 =  -0.69887

    I        X           Y           Z           DX        Slope        dCp
  181    10.65867     1.79777     0.00000     0.01736     0.00045    17.69274
  182    10.68087     1.79777     0.00000     0.03871     0.00134     8.01413
  183    10.72504     1.79777     0.00000     0.06034     0.00118     5.25224
  184    10.79070     1.79777     0.00000     0.08134    -0.00160     4.02707
  185    10.87716     1.79777     0.00000     0.10147     0.00008     3.34942
  186    10.98351     1.79777     0.00000     0.12053    -0.00078     2.96312
  187    11.10862     1.79777     0.00000     0.13831    -0.00042     2.72107
  188    11.25116     1.79777     0.00000     0.15462    -0.00194     2.58031
  189    11.40961     1.79777     0.00000     0.16930    -0.00029     2.48644
  190    11.58231     1.79777     0.00000     0.18218     0.00124     2.44713
  191    11.76742     1.79777     0.00000     0.19313     0.00179     2.44502
  192    11.96297     1.79777     0.00000     0.20203     0.00209     2.46303
  193    12.16690     1.79777     0.00000     0.20879     0.00745     2.48380
  194    12.37704     1.79777     0.00000     0.21334     0.01161     2.54594
  195    12.59117     1.79777     0.00000     0.21562     0.02553     2.60730
  196    12.80701     1.79777     0.00000     0.21562     0.03720     2.76279
  197    13.02229     1.79777     0.00000     0.21334     0.04672     2.99681
  198    13.23470     1.79777     0.00000     0.20879     0.04615     3.35979
  199    13.44201     1.79777     0.00000     0.20203     0.04156     3.90493
  200    13.64202     1.79777     0.00000     0.19313     0.02902     5.40669
  201    13.83260     1.79777     0.00000     0.18218     0.00967     3.92710
  202    14.01174     1.79777     0.00000     0.16930    -0.01537     3.44769
  203    14.17754     1.79777     0.00000     0.15462    -0.05070     3.16469
  204    14.32824     1.79777     0.00000     0.13831    -0.09230     2.91983
  205    14.46224     1.79777     0.00000     0.12053    -0.13260     2.63943
  206    14.57812     1.79777     0.00000     0.10147    -0.17235     2.33558
  207    14.67465     1.79777     0.00000     0.08134    -0.20566     1.97374
  208    14.75082     1.79777     0.00000     0.06034    -0.23445     1.58085
  209    14.80580     1.79777     0.00000     0.03871    -0.25500     1.14076
  210    14.83903     1.79777     0.00000     0.01736    -0.26574     0.65243

 Strip #  8     # Chordwise = 30   First Vortex = 211
    Xle =  10.79623    Ave. Chord   =    4.1382   Incidence  =    0.0000 deg
    Yle =   2.06171    Strip Width  =   0.26059   Strip Area =    1.078361
    Zle =   0.00000    Strip Dihed. =    0.0000

    cl  =   3.08332       cd  =   0.30659      cdv =   0.00000
    cn  =   3.09514       ca  =   0.14480      cnc =  12.80836    wake dnwsh =   0.21896
    cmLE=  -1.28855    cm c/4 =  -0.68558

    I        X           Y           Z           DX        Slope        dCp
  211    10.79860     2.06100     0.00000     0.01713     0.00045    18.41406
  212    10.82050     2.06100     0.00000     0.03819     0.00134     8.33567
  213    10.86408     2.06100     0.00000     0.05954     0.00118     5.45536
  214    10.92887     2.06100     0.00000     0.08025    -0.00160     4.17330
  215    11.01418     2.06100     0.00000     0.10012     0.00008     3.46094
  216    11.11911     2.06100     0.00000     0.11892    -0.00078     3.05068
  217    11.24255     2.06100     0.00000     0.13647    -0.00042     2.79032
  218    11.38319     2.06100     0.00000     0.15256    -0.00194     2.63470
  219    11.53953     2.06100     0.00000     0.16704    -0.00029     2.52791
  220    11.70993     2.06100     0.00000     0.17975     0.00124     2.47712
  221    11.89257     2.06100     0.00000     0.19055     0.00179     2.46445
  222    12.08552     2.06100     0.00000     0.19934     0.00209     2.47247
